"","mean","S.D","p.value"
"Machiavellianism",3.70567038014268,0.794096211921487,1.39108572163233e-32
"Narcissism",1.06761213720317,0.768854596837998,1.73583365593804e-12
"Psychopathy",1.48015000488615,0.807789659248368,1.79303710711911e-14
