"","mach","narc","psyc"
"351",40,20,27
"352",34,7,10
"353",28,12,9
"354",45,3,23
"355",45,19,1
"356",20,-2,0
"357",26,11,15
"358",35,23,6
"359",44,10,16
"360",22,3,1
"361",41,-5,13
"362",33,15,13
"363",36,4,10
"364",30,5,10
"365",34,6,12
"366",37,7,24
"367",31,13,9
"368",34,16,21
"369",21,-6,4
"370",40,25,21
"371",37,17,24
"372",35,14,3
"373",35,9,15
"374",29,10,18
"375",35,12,13
"376",37,16,7
"377",41,11,15
"378",36,6,10
"379",32,5,13
"380",22,-2,1
"381",30,-1,6
"382",43,17,19
"383",37,13,18
"384",33,13,17
"385",37,9,15
"386",32,12,20
"387",30,13,19
"388",45,6,12
"389",31,-1,18
"390",16,2,-1
"391",42,8,13
"392",42,8,17
"393",35,15,18
"394",23,9,10
"395",21,4,4
"396",33,6,13
"397",24,9,8
"398",44,10,29
"399",26,8,10
"400",40,7,16
"401",34,12,20
"402",27,12,11
"403",45,27,29
"404",33,9,16
"405",31,8,15
"406",23,10,0
"407",33,7,14
"408",41,15,19
"409",39,3,25
"410",37,11,20
"411",42,4,20
"412",37,10,17
"413",38,19,29
"414",23,8,1
"415",35,16,13
"416",19,6,13
"417",29,14,5
"418",32,-5,5
"419",24,4,3
"420",36,12,16
"421",42,12,20
"422",22,10,0
"423",40,3,18
"424",23,-5,0
"425",35,10,10
"426",35,17,12
"427",24,13,-2
"428",36,0,10
"429",28,8,5
"430",41,14,20
"431",40,22,21
"432",35,7,19
"433",37,17,22
"434",35,10,16
"435",36,11,15
"436",34,13,20
"437",25,5,0
"438",38,6,16
"439",31,1,16
"440",23,11,10
"441",30,14,16
"442",38,6,18
"443",41,11,14
"444",20,16,13
"445",31,18,27
"446",36,7,18
"447",42,24,16
"448",31,9,22
"449",31,8,9
"450",26,7,14
"451",32,14,21
"452",28,8,15
"453",29,11,5
"454",31,6,15
"455",37,10,14
"456",18,-1,1
"457",41,27,33
"458",16,1,1
"459",42,12,20
"460",38,18,22
