"","mach","narc","psyc"
"4750",36,3,6
"4751",21,1,6
"4752",26,12,3
"4753",35,6,5
"4754",36,4,6
"4755",39,-2,19
"4756",35,4,16
"4757",34,8,7
"4758",30,7,3
"4759",36,17,19
"4760",32,0,2
"4761",39,25,26
"4762",44,6,26
"4763",35,13,19
"4764",32,9,14
"4765",37,6,20
"4766",45,27,33
"4767",45,26,27
"4768",34,20,18
"4769",41,8,17
"4770",37,9,14
"4771",39,16,19
"4772",36,19,15
"4773",32,11,11
"4774",36,20,17
"4775",24,9,11
"4776",33,-2,2
"4777",45,27,29
"4778",38,8,18
"4779",31,19,21
"4780",23,4,4
"4781",39,15,12
"4782",27,1,7
"4783",44,-1,15
"4784",41,17,20
"4785",38,17,14
"4786",17,-9,1
"4787",25,4,9
"4788",27,-3,13
"4789",36,22,21
"4790",31,8,6
"4791",37,5,15
"4792",24,5,15
"4793",33,5,11
"4794",29,14,10
"4795",29,14,6
"4796",29,-2,6
"4797",39,11,13
"4798",21,-7,4
"4799",32,2,4
"4800",41,9,18
"4801",40,8,9
"4802",37,17,24
"4803",23,-1,1
"4804",34,3,8
"4805",41,3,21
"4806",39,27,30
"4807",33,11,25
"4808",32,6,9
"4809",39,1,8
"4810",16,2,2
"4811",26,2,8
"4812",39,-2,20
"4813",34,9,13
"4814",38,9,24
"4815",24,7,9
"4816",41,2,13
"4817",32,20,17
"4818",39,1,4
"4819",30,3,15
"4820",32,5,7
"4821",40,14,27
"4822",41,4,20
"4823",42,22,23
"4824",34,22,18
"4825",36,7,7
"4826",31,1,6
"4827",29,8,10
"4828",17,-4,14
"4829",31,5,7
"4830",45,27,25
"4831",44,13,12
"4832",38,3,9
"4833",26,2,18
"4834",34,17,16
"4835",44,-1,17
"4836",32,6,23
"4837",41,5,19
"4838",31,16,6
"4839",42,13,16
"4840",37,10,20
"4841",36,8,13
"4842",35,5,12
"4843",36,11,16
"4844",39,7,18
"4845",27,9,6
"4846",36,10,22
"4847",25,6,5
"4848",33,15,16
"4849",37,-2,13
"4850",44,8,24
"4851",33,11,19
"4852",28,6,9
"4853",37,17,24
"4854",24,1,6
"4855",43,20,22
"4856",39,6,6
"4857",24,1,9
"4858",36,11,13
"4859",43,24,17
"4860",36,2,8
"4861",39,12,20
"4862",37,14,20
"4863",26,15,14
"4864",30,16,8
"4865",40,5,18
"4866",30,3,4
"4867",42,12,33
"4868",38,13,20
"4869",34,15,9
"4870",26,4,8
"4871",40,9,23
"4872",34,10,17
"4873",16,-3,-2
"4874",40,17,22
"4875",32,14,22
"4876",35,12,17
"4877",42,27,23
"4878",41,15,13
"4879",45,11,18
"4880",26,11,7
"4881",41,21,30
"4882",39,18,15
"4883",32,8,4
"4884",44,25,18
"4885",40,20,21
"4886",28,14,5
"4887",34,11,15
"4888",42,25,24
"4889",26,9,8
"4890",39,20,21
"4891",32,3,8
"4892",40,12,16
"4893",35,19,13
"4894",39,8,14
"4895",34,15,20
"4896",32,18,16
"4897",33,8,13
"4898",26,0,6
"4899",26,10,0
"4900",30,14,15
"4901",45,14,17
"4902",17,4,6
"4903",31,3,5
"4904",41,20,20
"4905",29,10,7
"4906",29,1,5
"4907",37,8,10
"4908",31,5,12
"4909",40,10,14
"4910",27,2,1
"4911",31,8,13
"4912",26,11,-3
"4913",38,11,14
"4914",39,-2,20
"4915",41,15,18
"4916",38,18,16
"4917",36,-3,6
"4918",40,17,28
"4919",40,9,25
"4920",37,14,17
"4921",36,12,14
"4922",43,12,20
"4923",41,20,21
"4924",39,15,23
"4925",32,-2,5
"4926",39,9,19
"4927",45,19,24
"4928",25,2,13
"4929",36,14,17
"4930",30,17,14
"4931",34,13,9
"4932",39,6,16
"4933",34,7,15
"4934",27,7,3
"4935",21,0,0
"4936",35,11,-1
"4937",35,2,3
"4938",21,2,10
"4939",26,12,7
"4940",37,21,12
"4941",18,18,13
"4942",31,12,8
"4943",34,3,3
"4944",37,12,19
"4945",41,24,25
"4946",24,0,20
"4947",36,4,11
"4948",34,13,9
"4949",34,9,13
"4950",30,2,-3
"4951",40,19,12
"4952",41,17,25
"4953",39,11,6
"4954",41,14,16
"4955",31,8,19
"4956",31,-2,13
"4957",33,12,14
"4958",31,16,13
"4959",30,5,6
"4960",20,-6,1
"4961",42,15,26
"4962",38,12,19
"4963",27,23,20
"4964",39,2,17
"4965",37,7,15
"4966",32,2,2
"4967",36,15,13
"4968",42,2,16
"4969",20,3,9
"4970",45,13,22
"4971",28,0,2
"4972",44,18,18
"4973",44,23,25
"4974",27,8,6
"4975",34,15,11
"4976",38,17,14
"4977",32,7,9
"4978",41,11,17
"4979",31,6,6
"4980",43,23,28
"4981",33,5,15
"4982",39,2,26
"4983",40,9,20
"4984",35,17,13
"4985",39,5,9
"4986",34,10,20
"4987",45,24,28
"4988",31,13,17
"4989",29,9,7
"4990",40,15,25
"4991",30,7,3
"4992",32,7,6
"4993",39,13,12
"4994",33,4,13
"4995",38,8,24
"4996",23,0,2
"4997",35,10,17
"4998",29,4,12
"4999",27,2,13
"5000",34,15,8
"5001",35,2,10
"5002",30,8,5
"5003",37,13,16
"5004",31,10,13
"5005",30,-3,5
"5006",33,6,17
"5007",35,23,29
"5008",37,19,20
"5009",41,19,16
"5010",43,11,14
"5011",27,11,10
"5012",33,19,14
"5013",42,17,15
"5014",45,19,26
"5015",20,-4,1
"5016",27,5,16
"5017",41,19,21
"5018",42,18,22
"5019",26,8,17
"5020",38,12,7
"5021",33,15,9
"5022",34,1,14
"5023",30,8,15
"5024",36,15,17
"5025",39,12,16
"5026",37,11,12
"5027",21,8,-1
"5028",41,18,22
"5029",39,19,20
"5030",44,5,21
"5031",38,10,21
"5032",43,13,10
"5033",26,10,10
"5034",40,10,20
"5035",44,17,20
"5036",30,6,17
"5037",34,11,16
"5038",30,0,11
"5039",44,22,22
"5040",31,3,12
"5041",30,-5,11
"5042",31,21,19
"5043",28,11,8
"5044",40,19,12
"5045",42,15,21
"5046",41,14,20
"5047",35,16,19
"5048",34,3,18
"5049",32,0,11
"5050",41,13,20
"5051",34,7,13
"5052",38,14,11
"5053",21,-4,-2
"5054",31,3,11
"5055",19,18,10
"5056",39,19,18
"5057",44,22,17
"5058",28,0,11
"5059",41,17,11
"5060",33,14,10
"5061",37,10,7
"5062",27,11,16
"5063",25,8,11
"5064",37,11,3
"5065",29,3,8
"5066",35,19,27
"5067",42,7,20
"5068",26,17,16
"5069",41,26,24
"5070",39,8,20
"5071",38,21,12
"5072",34,14,12
"5073",36,17,10
"5074",42,13,24
"5075",32,8,12
"5076",39,6,10
"5077",27,4,12
"5078",37,2,17
"5079",23,10,6
"5080",34,2,12
"5081",33,22,25
"5082",39,19,24
"5083",30,4,3
"5084",40,11,15
"5085",37,21,9
"5086",38,24,30
"5087",40,16,14
"5088",40,8,19
"5089",39,17,25
"5090",33,9,18
"5091",34,6,13
"5092",29,8,11
"5093",45,15,20
"5094",31,20,15
"5095",41,13,4
"5096",32,7,10
"5097",26,2,6
"5098",36,14,9
"5099",38,14,16
"5100",39,12,10
"5101",43,-4,10
"5102",41,14,19
"5103",34,7,15
"5104",25,9,8
"5105",29,9,12
"5106",34,4,14
"5107",26,6,12
"5108",28,11,7
"5109",31,7,15
"5110",30,2,13
"5111",23,1,4
"5112",40,5,18
"5113",41,16,17
"5114",34,13,22
"5115",17,9,0
"5116",26,5,10
"5117",42,14,12
"5118",28,9,12
"5119",30,5,13
"5120",36,17,19
"5121",25,2,2
"5122",30,6,2
"5123",45,16,30
"5124",15,-3,1
"5125",36,21,24
"5126",28,1,1
"5127",44,19,27
"5128",30,12,18
"5129",39,15,16
"5130",24,10,5
"5131",36,11,29
"5132",39,12,20
"5133",35,11,21
"5134",22,9,10
"5135",39,5,22
"5136",39,14,16
"5137",28,9,1
"5138",40,11,16
"5139",41,23,25
"5140",34,20,16
"5141",39,11,18
"5142",26,5,15
"5143",25,10,1
"5144",21,3,8
"5145",43,13,27
"5146",34,0,4
"5147",25,17,-2
"5148",39,22,30
"5149",38,15,22
"5150",34,8,12
"5151",31,3,16
"5152",33,3,19
"5153",36,2,1
"5154",40,10,13
"5155",43,15,12
"5156",45,26,22
"5157",25,4,12
"5158",36,4,22
"5159",35,14,8
"5160",36,2,10
"5161",34,5,9
"5162",39,7,17
"5163",36,9,17
"5164",28,5,12
"5165",30,8,15
"5166",35,9,13
"5167",23,7,7
"5168",35,5,9
"5169",37,9,12
"5170",39,20,23
"5171",21,-2,1
"5172",36,10,4
"5173",35,21,22
"5174",37,18,25
"5175",34,11,24
"5176",35,11,12
"5177",29,6,4
"5178",44,22,16
"5179",25,4,4
"5180",36,21,10
"5181",25,1,0
"5182",29,10,10
"5183",30,5,15
"5184",30,6,15
"5185",31,5,3
"5186",39,20,25
"5187",31,3,16
"5188",35,9,13
"5189",37,8,12
"5190",36,16,25
"5191",44,14,26
"5192",37,14,11
"5193",43,26,33
"5194",32,12,12
"5195",44,26,30
"5196",36,11,19
"5197",34,0,17
"5198",27,1,10
"5199",29,12,13
"5200",39,14,16
"5201",40,9,20
"5202",34,11,9
"5203",36,16,12
"5204",36,17,14
"5205",25,7,11
"5206",37,21,19
"5207",25,9,14
"5208",30,22,12
"5209",33,1,14
"5210",26,3,8
"5211",27,3,6
"5212",32,6,10
"5213",38,4,19
"5214",41,17,24
"5215",31,18,19
"5216",36,-1,12
"5217",35,3,14
"5218",31,0,11
"5219",36,6,15
"5220",42,24,21
"5221",31,12,18
"5222",29,3,10
"5223",36,6,13
"5224",40,15,8
"5225",40,19,19
"5226",38,1,9
"5227",44,7,17
"5228",36,9,11
"5229",30,12,12
"5230",29,8,18
"5231",42,17,25
"5232",42,26,27
"5233",27,20,7
"5234",36,0,10
"5235",34,10,16
"5236",39,20,22
"5237",38,4,10
"5238",39,9,14
"5239",33,12,7
"5240",37,8,6
"5241",43,19,22
"5242",38,18,20
"5243",34,11,21
"5244",43,21,17
"5245",44,15,19
"5246",22,10,9
"5247",37,1,16
"5248",26,15,11
"5249",23,5,7
"5250",37,17,19
"5251",43,15,18
"5252",42,10,16
"5253",26,2,8
"5254",34,9,13
"5255",41,5,6
"5256",40,-3,10
"5257",30,0,7
"5258",39,3,15
"5259",25,3,12
"5260",34,8,9
"5261",37,7,16
"5262",39,11,18
"5263",16,-1,2
"5264",30,2,3
"5265",43,24,26
"5266",39,19,20
"5267",29,14,12
"5268",45,26,23
"5269",30,11,19
"5270",43,20,18
"5271",35,7,18
"5272",45,23,22
"5273",39,23,28
"5274",33,0,5
"5275",31,8,5
"5276",33,2,9
"5277",42,14,19
"5278",38,10,20
"5279",30,6,13
"5280",16,14,0
"5281",32,9,7
"5282",37,11,8
"5283",32,12,20
"5284",29,4,8
"5285",18,13,7
"5286",35,10,10
"5287",33,8,17
"5288",35,22,20
"5289",36,25,15
"5290",34,13,11
"5291",43,19,25
"5292",25,12,18
"5293",43,26,22
"5294",30,-1,10
"5295",34,9,10
"5296",40,13,17
"5297",42,19,17
"5298",22,2,3
"5299",31,5,9
"5300",26,-4,5
"5301",32,19,10
"5302",39,9,17
"5303",45,16,14
"5304",34,10,8
"5305",32,4,10
"5306",34,13,14
"5307",17,4,10
"5308",31,15,20
"5309",40,6,14
"5310",32,10,12
"5311",23,10,7
"5312",34,-3,7
"5313",35,6,13
"5314",35,9,16
"5315",44,23,27
"5316",26,-3,-1
"5317",36,22,12
"5318",43,4,13
"5319",39,23,33
"5320",23,4,6
"5321",42,25,25
"5322",34,13,16
"5323",15,8,5
"5324",45,17,14
"5325",30,17,16
"5326",34,8,17
"5327",32,1,6
"5328",28,5,14
"5329",37,3,12
"5330",40,10,16
"5331",35,12,18
"5332",31,-1,2
"5333",40,21,33
"5334",35,16,15
"5335",25,4,9
"5336",44,7,7
"5337",33,7,13
"5338",34,6,22
"5339",21,3,1
"5340",35,7,17
"5341",25,-2,4
"5342",31,10,12
"5343",37,11,19
"5344",36,14,24
"5345",32,5,14
"5346",39,8,20
"5347",27,-6,9
"5348",37,19,16
"5349",29,5,24
"5350",37,14,6
"5351",43,2,12
"5352",32,4,13
"5353",27,3,3
"5354",40,27,29
"5355",32,3,3
"5356",35,3,5
"5357",39,11,14
"5358",36,7,7
"5359",32,18,32
"5360",43,7,9
"5361",40,9,7
"5362",35,13,19
"5363",34,9,10
"5364",37,8,16
"5365",39,11,27
"5366",43,26,23
"5367",32,12,13
"5368",38,12,11
"5369",44,18,23
"5370",29,2,7
"5371",33,12,2
"5372",43,13,21
"5373",41,8,14
"5374",41,22,31
"5375",37,14,11
"5376",40,8,13
"5377",23,-2,15
"5378",33,14,16
"5379",17,3,-2
"5380",39,11,14
"5381",42,13,19
"5382",42,12,11
"5383",33,2,19
"5384",33,5,8
"5385",32,10,12
"5386",39,1,18
"5387",40,7,11
"5388",34,10,20
"5389",41,8,18
"5390",34,5,14
"5391",40,10,15
"5392",34,5,7
"5393",38,16,13
"5394",38,20,15
"5395",34,6,11
"5396",43,20,24
"5397",40,18,18
"5398",27,-1,5
"5399",20,6,9
"5400",44,23,20
"5401",34,8,12
"5402",37,12,16
"5403",35,7,22
"5404",27,6,2
"5405",37,3,10
"5406",40,18,27
"5407",18,5,15
"5408",21,5,4
"5409",33,15,27
"5410",32,10,21
"5411",31,9,16
"5412",37,9,11
"5413",24,7,7
"5414",31,15,17
"5415",23,7,11
"5416",35,3,14
"5417",28,9,12
"5418",24,-1,9
"5419",24,1,7
"5420",40,9,22
"5421",39,12,20
"5422",26,13,19
"5423",41,14,25
"5424",35,8,15
"5425",23,-3,-3
"5426",33,4,13
"5427",24,4,10
"5428",34,4,4
"5429",41,9,24
"5430",27,9,15
"5431",41,21,25
"5432",35,11,15
"5433",35,11,20
"5434",34,19,15
"5435",39,9,10
"5436",38,10,18
"5437",37,7,10
"5438",43,23,19
"5439",32,6,10
"5440",40,10,12
"5441",43,17,27
"5442",36,1,14
"5443",32,2,8
"5444",43,-2,23
"5445",36,18,5
"5446",33,7,14
"5447",35,3,14
"5448",22,6,5
"5449",32,-1,4
"5450",29,9,16
"5451",28,11,6
"5452",34,17,20
"5453",45,21,26
"5454",39,12,22
"5455",33,12,24
"5456",41,13,7
"5457",30,4,10
"5458",26,9,11
"5459",40,11,9
"5460",41,10,21
"5461",18,-2,1
"5462",16,14,11
"5463",34,13,12
"5464",25,11,11
"5465",39,13,6
"5466",30,5,11
"5467",20,2,2
"5468",29,2,8
"5469",21,1,1
"5470",25,5,-2
"5471",33,10,3
"5472",30,8,12
"5473",30,8,9
"5474",24,4,8
"5475",31,4,11
"5476",27,5,10
"5477",33,-2,17
"5478",36,8,24
"5479",31,4,13
"5480",30,11,19
"5481",31,10,16
"5482",37,19,14
"5483",37,-3,18
"5484",35,-1,14
"5485",36,14,11
"5486",30,8,16
"5487",43,14,17
"5488",37,21,18
"5489",28,5,7
"5490",32,5,9
"5491",40,20,26
"5492",30,3,10
"5493",33,20,9
"5494",20,7,4
"5495",31,5,7
"5496",26,5,4
"5497",31,17,14
"5498",23,7,7
"5499",36,15,16
"5500",32,13,13
"5501",40,5,18
"5502",41,11,11
"5503",39,14,20
"5504",32,6,12
"5505",20,0,7
"5506",27,8,13
"5507",43,4,16
"5508",42,8,19
"5509",36,12,19
"5510",41,19,14
"5511",28,9,9
"5512",35,2,11
"5513",42,19,16
"5514",42,11,16
"5515",30,0,7
"5516",22,6,10
"5517",19,-1,3
"5518",39,8,21
"5519",35,4,10
"5520",16,-2,5
"5521",36,13,9
"5522",37,13,15
"5523",25,4,8
"5524",41,13,24
"5525",32,9,13
"5526",30,9,-3
"5527",28,8,6
"5528",41,9,14
"5529",32,13,10
"5530",17,6,4
"5531",18,-1,-1
"5532",14,0,3
"5533",43,15,19
"5534",35,-6,10
"5535",28,2,0
"5536",42,4,16
"5537",25,-1,10
"5538",39,26,26
"5539",20,7,2
"5540",35,2,17
"5541",37,11,19
"5542",26,9,13
"5543",30,5,12
"5544",31,5,8
"5545",31,4,12
"5546",38,10,22
"5547",33,23,21
"5548",41,22,26
"5549",45,19,18
"5550",38,12,15
"5551",37,13,17
"5552",26,5,2
"5553",33,11,19
"5554",28,11,24
"5555",42,15,12
"5556",44,18,13
"5557",35,19,18
"5558",28,14,13
"5559",33,11,9
"5560",45,15,25
"5561",37,12,15
"5562",37,19,9
"5563",24,11,7
"5564",25,8,10
"5565",27,18,3
"5566",41,8,22
"5567",43,19,13
"5568",35,11,15
"5569",24,5,9
"5570",39,1,13
"5571",39,17,14
"5572",45,27,26
"5573",43,13,22
"5574",35,1,13
"5575",32,8,15
"5576",33,21,10
"5577",26,1,9
"5578",41,4,8
"5579",26,4,6
"5580",28,1,8
"5581",20,4,4
"5582",35,6,11
"5583",42,23,26
"5584",16,2,10
"5585",37,17,18
"5586",37,3,12
"5587",33,-2,2
"5588",42,5,17
"5589",30,1,9
"5590",29,2,11
"5591",20,3,20
"5592",33,18,12
"5593",25,9,3
"5594",40,9,22
"5595",32,22,25
"5596",37,14,20
"5597",24,3,10
"5598",25,-4,3
"5599",35,24,15
"5600",39,9,9
"5601",45,23,18
"5602",31,23,15
"5603",44,21,18
"5604",36,16,17
"5605",34,10,8
"5606",43,16,10
"5607",36,21,19
"5608",19,-2,1
"5609",24,7,10
"5610",35,13,24
"5611",40,5,11
"5612",30,16,12
"5613",26,8,20
"5614",22,15,18
"5615",37,7,11
"5616",43,24,26
"5617",31,2,3
"5618",31,10,17
"5619",24,4,-1
"5620",38,7,8
"5621",30,7,11
"5622",41,22,19
"5623",29,6,8
"5624",25,9,12
"5625",42,25,29
"5626",44,23,32
"5627",38,14,16
"5628",41,13,12
"5629",33,15,10
"5630",35,6,9
"5631",21,2,4
"5632",42,18,9
"5633",35,0,7
"5634",33,7,13
"5635",33,18,24
"5636",45,12,23
"5637",36,16,23
"5638",33,13,17
"5639",17,3,4
"5640",38,7,17
"5641",31,8,21
"5642",36,15,14
"5643",44,11,14
"5644",41,6,13
"5645",18,10,12
"5646",37,10,19
"5647",29,16,11
"5648",38,20,14
"5649",32,8,6
"5650",18,11,-1
"5651",33,6,3
"5652",30,1,11
"5653",32,2,8
"5654",34,18,19
"5655",37,3,25
"5656",28,8,6
"5657",36,10,15
"5658",31,5,20
"5659",32,4,17
"5660",36,10,18
"5661",40,23,25
"5662",37,5,12
"5663",33,7,17
"5664",41,6,12
"5665",37,9,14
"5666",38,12,13
"5667",41,18,26
"5668",32,8,17
"5669",37,1,7
"5670",36,5,17
"5671",18,2,-1
"5672",36,8,12
"5673",28,6,8
"5674",34,7,16
"5675",38,14,15
"5676",31,10,11
"5677",38,4,9
"5678",24,0,1
"5679",28,9,1
"5680",41,9,10
"5681",34,11,21
"5682",40,6,11
"5683",38,-4,22
"5684",45,11,25
"5685",30,4,4
"5686",23,-9,5
"5687",43,11,24
"5688",28,13,12
"5689",26,15,11
"5690",37,15,17
"5691",34,16,4
"5692",28,0,2
"5693",35,4,14
"5694",34,26,13
"5695",35,1,11
"5696",34,3,7
"5697",33,7,10
"5698",42,22,31
"5699",34,5,21
"5700",33,6,10
"5701",44,23,29
"5702",22,3,10
"5703",39,21,23
"5704",41,16,16
"5705",33,10,11
"5706",37,5,11
"5707",40,11,9
"5708",38,19,16
"5709",29,17,9
"5710",39,13,24
"5711",37,5,15
"5712",30,12,5
"5713",42,23,25
"5714",35,7,5
"5715",32,-3,11
"5716",22,0,-2
"5717",42,11,15
"5718",35,8,11
"5719",32,11,14
"5720",19,6,-3
"5721",41,24,18
"5722",39,21,18
"5723",29,8,17
"5724",35,6,26
"5725",31,9,11
"5726",37,8,21
"5727",41,21,22
"5728",37,7,16
"5729",31,2,5
"5730",35,16,22
"5731",25,1,11
"5732",34,11,22
"5733",34,7,8
"5734",25,0,12
"5735",36,7,15
"5736",37,3,12
"5737",17,3,9
"5738",25,3,8
"5739",32,17,6
"5740",19,2,4
"5741",41,6,11
"5742",30,-2,2
"5743",39,11,18
"5744",38,-5,16
"5745",33,6,13
"5746",34,13,8
"5747",33,0,8
"5748",41,16,16
"5749",44,20,23
"5750",32,13,17
"5751",43,18,19
"5752",25,8,15
"5753",28,7,10
"5754",29,-1,2
"5755",37,2,13
"5756",27,10,10
"5757",35,0,12
"5758",44,22,27
"5759",44,17,20
"5760",33,12,18
"5761",39,10,16
"5762",39,12,21
"5763",21,4,6
"5764",39,6,18
"5765",39,19,20
"5766",35,12,13
"5767",32,0,3
"5768",35,5,10
"5769",35,3,19
"5770",29,1,6
"5771",34,18,20
"5772",22,-1,2
"5773",33,13,8
"5774",44,21,25
"5775",42,11,27
"5776",32,10,14
"5777",45,12,25
"5778",39,8,13
"5779",36,9,23
"5780",38,9,17
"5781",27,-1,7
"5782",37,11,15
"5783",32,9,15
"5784",22,6,6
"5785",35,23,19
"5786",19,-1,4
"5787",36,18,23
"5788",39,16,19
"5789",39,3,17
"5790",23,15,12
"5791",38,11,10
"5792",44,13,28
"5793",36,11,9
"5794",29,10,12
"5795",31,10,18
"5796",26,7,6
"5797",38,9,23
"5798",30,3,18
"5799",31,3,0
"5800",41,5,23
"5801",32,9,11
"5802",32,9,7
"5803",33,4,15
"5804",36,9,12
"5805",36,13,9
"5806",33,11,19
"5807",41,16,24
"5808",40,8,22
"5809",44,12,10
"5810",35,20,18
"5811",30,12,13
"5812",39,14,20
"5813",21,2,-1
"5814",32,5,10
"5815",39,5,12
"5816",40,13,23
"5817",37,10,17
"5818",34,7,21
"5819",35,11,21
"5820",29,6,0
"5821",35,8,8
"5822",31,15,14
"5823",32,12,11
"5824",43,10,16
"5825",44,5,15
"5826",32,16,12
"5827",38,18,10
"5828",39,18,22
"5829",34,7,13
"5830",34,10,24
"5831",42,16,20
"5832",27,5,13
"5833",38,11,12
"5834",30,10,16
"5835",42,22,27
"5836",41,16,25
"5837",38,17,15
"5838",30,6,17
"5839",38,16,23
"5840",33,10,10
"5841",12,-4,0
"5842",35,15,12
"5843",35,13,19
"5844",41,15,11
"5845",30,6,12
"5846",36,14,16
"5847",22,2,7
"5848",33,6,8
"5849",38,13,20
"5850",34,20,9
"5851",35,6,10
"5852",26,4,6
"5853",36,12,19
"5854",18,8,2
"5855",24,4,2
"5856",23,4,7
"5857",31,1,21
"5858",30,7,22
"5859",41,11,17
"5860",37,14,7
"5861",42,18,16
"5862",39,3,15
"5863",28,-1,10
"5864",40,14,22
"5865",25,10,7
"5866",31,2,7
"5867",21,11,20
"5868",30,6,1
"5869",40,19,9
"5870",22,7,8
"5871",35,-3,4
"5872",45,27,33
"5873",27,-6,1
"5874",30,3,7
"5875",44,1,8
"5876",41,20,11
"5877",33,3,8
"5878",27,11,13
"5879",33,10,13
"5880",28,13,14
"5881",42,14,23
"5882",32,9,19
"5883",35,16,25
"5884",19,-1,-1
"5885",35,6,14
"5886",34,0,3
"5887",32,10,19
"5888",40,12,19
"5889",34,10,12
"5890",34,4,8
"5891",29,17,18
"5892",25,5,10
"5893",41,21,19
"5894",30,8,10
"5895",34,6,16
"5896",26,6,6
"5897",27,0,4
"5898",43,14,18
"5899",32,7,7
"5900",40,14,14
"5901",23,8,5
"5902",43,-6,5
"5903",45,25,27
"5904",34,3,6
"5905",31,-2,13
"5906",34,10,25
"5907",44,17,21
"5908",42,21,21
"5909",33,6,13
"5910",38,17,17
"5911",23,4,17
"5912",24,12,5
"5913",43,18,11
"5914",35,10,18
"5915",45,7,15
"5916",31,2,10
"5917",23,-4,9
"5918",39,5,10
"5919",11,-3,1
"5920",29,8,10
"5921",45,21,27
"5922",30,7,13
"5923",30,-3,14
"5924",43,16,25
"5925",36,14,6
"5926",22,-7,6
"5927",27,15,16
"5928",30,5,6
"5929",33,13,12
"5930",38,10,17
"5931",26,11,10
"5932",33,12,22
"5933",34,12,14
"5934",38,2,6
"5935",45,24,28
"5936",42,6,7
"5937",19,5,6
"5938",41,17,24
"5939",41,8,17
"5940",35,14,26
"5941",29,2,16
"5942",40,20,23
"5943",34,20,22
"5944",28,1,7
"5945",41,18,21
"5946",36,17,15
"5947",34,3,17
"5948",33,2,9
"5949",34,8,11
"5950",33,8,9
"5951",38,17,23
"5952",32,10,10
"5953",24,9,4
"5954",38,13,15
"5955",33,10,20
"5956",24,3,10
"5957",41,13,15
"5958",36,14,19
"5959",44,22,28
"5960",32,2,16
"5961",45,4,16
"5962",22,2,4
"5963",43,1,26
"5964",43,17,25
"5965",37,11,5
"5966",35,10,24
"5967",37,10,6
"5968",38,14,15
"5969",23,15,3
"5970",31,9,18
"5971",19,6,8
"5972",43,8,21
"5973",33,18,22
"5974",29,13,11
"5975",45,11,18
"5976",36,24,16
"5977",44,19,16
"5978",30,-1,13
"5979",37,2,4
"5980",29,5,10
"5981",30,11,17
"5982",34,-3,8
"5983",38,15,17
"5984",31,20,2
"5985",37,18,10
"5986",37,10,23
"5987",43,18,18
"5988",34,-1,10
"5989",37,12,11
"5990",26,15,18
"5991",31,6,14
"5992",27,8,2
"5993",19,-1,4
"5994",39,-3,6
"5995",0,0,0
"5996",45,22,29
"5997",28,-1,1
"5998",39,12,20
"5999",34,11,18
"6000",32,15,8
"6001",18,6,8
"6002",36,7,18
"6003",42,5,32
"6004",18,0,3
"6005",45,15,20
"6006",33,6,22
"6007",26,2,2
"6008",38,12,6
"6009",42,2,26
"6010",33,4,7
"6011",24,1,2
"6012",26,4,4
"6013",39,4,12
"6014",19,1,7
"6015",21,6,15
"6016",10,-1,1
"6017",43,9,20
"6018",36,2,4
"6019",28,0,8
"6020",32,-1,13
"6021",36,13,14
"6022",23,-1,6
"6023",28,10,6
"6024",32,14,26
"6025",37,19,16
"6026",28,8,6
"6027",45,17,25
"6028",38,12,22
"6029",33,4,25
"6030",43,20,23
"6031",30,8,13
"6032",37,8,14
"6033",36,10,6
"6034",33,5,8
"6035",30,3,7
"6036",40,1,24
"6037",37,11,19
"6038",30,7,16
"6039",33,10,9
"6040",30,4,11
"6041",44,18,13
"6042",34,5,14
"6043",22,14,8
"6044",39,7,16
"6045",27,13,9
"6046",22,9,8
"6047",39,13,12
"6048",37,10,13
"6049",38,15,17
"6050",35,7,8
"6051",36,5,9
"6052",34,13,19
"6053",26,4,3
"6054",37,20,26
"6055",31,16,12
"6056",39,4,15
"6057",31,15,10
"6058",20,6,5
"6059",29,10,6
"6060",42,7,23
"6061",36,19,21
"6062",19,5,7
"6063",38,17,19
"6064",26,12,8
"6065",30,9,8
"6066",29,6,17
"6067",38,0,20
"6068",43,13,17
"6069",32,6,11
"6070",34,5,10
"6071",38,9,6
"6072",36,12,20
"6073",28,3,8
"6074",41,0,19
"6075",38,3,9
"6076",39,9,10
"6077",40,23,30
"6078",42,-2,10
"6079",28,8,8
"6080",37,5,16
"6081",25,3,2
"6082",38,16,21
"6083",29,18,14
"6084",41,18,12
"6085",45,17,23
"6086",34,-1,11
"6087",20,3,-1
"6088",37,19,18
"6089",37,6,17
"6090",35,8,15
"6091",15,-4,-1
"6092",30,2,9
"6093",34,14,12
"6094",45,25,33
"6095",22,-2,-2
"6096",9,-9,-1
"6097",18,-1,0
"6098",38,4,8
"6099",31,11,17
"6100",28,5,8
"6101",34,8,13
"6102",28,0,0
"6103",39,16,18
"6104",34,15,18
"6105",25,3,5
"6106",26,14,16
"6107",36,3,17
"6108",33,4,12
"6109",33,9,22
"6110",36,13,14
"6111",36,12,12
"6112",39,19,14
"6113",41,20,25
"6114",27,10,5
"6115",21,8,-2
"6116",39,25,21
"6117",39,18,18
"6118",35,13,8
"6119",35,8,17
"6120",33,14,25
"6121",19,11,6
"6122",31,13,4
"6123",26,15,18
"6124",31,11,13
"6125",39,18,6
"6126",41,15,18
"6127",32,14,13
"6128",35,10,13
"6129",36,7,14
"6130",32,16,15
"6131",19,4,9
"6132",41,17,27
"6133",18,4,-2
"6134",35,10,11
"6135",36,16,9
"6136",27,5,9
